modelo,modo,semilla,repeticion,segundos,fraudes_totales,casos_elevados,fraudes_elevados,recall_detector,recall_sistema,precision_sistema,n_confirmados,n_descartados,n_fraude_descartado,fraude_descartado,n_descarte_correcto,auditoria,fiable,cobertura,error
qwen2.5:14b-instruct-q6_K,revisa,7,1,38.9,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b-instruct-q6_K,revisa,7,2,40.4,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b-instruct-q6_K,revisa,123,1,52.1,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b-instruct-q6_K,revisa,123,2,39.5,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b-instruct-q6_K,revisa,2024,1,37.2,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b-instruct-q6_K,revisa,2024,2,44.0,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b-instruct-q6_K,revisa,99,1,42.5,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b-instruct-q6_K,revisa,99,2,60.5,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b-instruct-q6_K,revisa,555,1,54.1,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b-instruct-q6_K,revisa,555,2,48.1,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
gpt-oss:20b,interpreta,42,1,34.4,5,4,4,0.8,0.8,1.0,0,0,0,,0,FIABLE,True,1.0,
gpt-oss:20b,interpreta,42,2,29.2,5,4,4,0.8,0.8,1.0,0,0,0,,0,FIABLE,True,1.0,
gpt-oss:20b,interpreta,7,1,27.5,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
gpt-oss:20b,interpreta,7,2,28.8,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
gpt-oss:20b,interpreta,123,1,27.5,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
gpt-oss:20b,interpreta,123,2,27.4,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
gpt-oss:20b,interpreta,2024,1,27.3,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
gpt-oss:20b,interpreta,2024,2,26.1,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
gpt-oss:20b,interpreta,99,1,27.9,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
gpt-oss:20b,interpreta,99,2,26.0,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
gpt-oss:20b,interpreta,555,1,32.0,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
gpt-oss:20b,interpreta,555,2,29.1,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
gpt-oss:20b,revisa,42,1,43.8,5,4,4,0.8,0.8,1.0,4,0,0,,0,FIABLE,True,1.0,
gpt-oss:20b,revisa,42,2,27.0,5,4,4,0.8,0.8,1.0,4,0,0,,0,FIABLE,True,1.0,
gpt-oss:20b,revisa,7,1,35.8,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
gpt-oss:20b,revisa,7,2,29.7,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
gpt-oss:20b,revisa,123,1,42.3,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
gpt-oss:20b,revisa,123,2,32.3,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
gpt-oss:20b,revisa,2024,1,32.0,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
gpt-oss:20b,revisa,2024,2,28.6,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
gpt-oss:20b,revisa,99,1,37.0,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
gpt-oss:20b,revisa,99,2,27.7,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
gpt-oss:20b,revisa,555,1,38.7,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
gpt-oss:20b,revisa,555,2,37.8,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen3:14b,interpreta,42,1,80.5,5,4,4,0.8,0.8,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen3:14b,interpreta,42,2,88.4,5,4,4,0.8,0.8,1.0,0,0,0,,0,NO FIABLE - invencion semantica,False,1.0,
qwen3:14b,interpreta,7,1,52.8,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen3:14b,interpreta,7,2,75.3,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen3:14b,interpreta,123,1,56.4,5,3,3,0.6,0.6,1.0,0,0,0,,0,NO FIABLE - invencion semantica,False,1.0,
qwen3:14b,interpreta,123,2,63.9,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen3:14b,interpreta,2024,1,71.2,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen3:14b,interpreta,2024,2,56.2,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen3:14b,interpreta,99,1,57.7,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen3:14b,interpreta,99,2,77.9,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen3:14b,interpreta,555,1,71.6,5,3,3,0.6,0.6,1.0,0,0,0,,0,NO FIABLE - invencion semantica,False,1.0,
qwen3:14b,interpreta,555,2,53.6,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen3:14b,revisa,42,1,87.2,5,4,4,0.8,0.8,1.0,4,0,0,,0,FIABLE,True,1.0,
qwen3:14b,revisa,42,2,72.0,5,4,4,0.8,0.8,1.0,4,0,0,,0,FIABLE,True,1.0,
qwen3:14b,revisa,7,1,169.8,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen3:14b,revisa,7,2,78.2,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen3:14b,revisa,123,1,66.5,5,3,3,0.6,0.6,1.0,3,0,0,,0,NO FIABLE - invencion semantica,False,1.0,
qwen3:14b,revisa,123,2,60.7,5,3,3,0.6,0.6,1.0,3,0,0,,0,NO FIABLE - invencion semantica,False,1.0,
qwen3:14b,revisa,2024,1,58.2,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen3:14b,revisa,2024,2,60.9,5,3,3,0.6,0.6,1.0,3,0,0,,0,NO FIABLE - invencion semantica,False,1.0,
qwen3:14b,revisa,99,1,75.7,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen3:14b,revisa,99,2,62.0,5,3,3,0.6,0.6,1.0,3,0,0,,0,NO FIABLE - invencion semantica,False,1.0,
qwen3:14b,revisa,555,1,78.0,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen3:14b,revisa,555,2,66.6,5,3,3,0.6,0.6,1.0,3,0,0,,0,NO FIABLE - invencion semantica,False,1.0,
