modelo,modo,semilla,repeticion,segundos,fraudes_totales,casos_elevados,fraudes_elevados,recall_detector,recall_sistema,precision_sistema,n_confirmados,n_descartados,n_fraude_descartado,fraude_descartado,n_descarte_correcto,auditoria,fiable,cobertura,error
llama3.1:8b,revisa,42,2,16.3,5,4,4,0.8,0.4,1.0,2,2,2,34;352,0,FIABLE,True,1.0,
llama3.1:8b,revisa,42,3,19.6,5,4,4,0.8,0.8,1.0,4,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,revisa,7,1,16.8,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,revisa,7,2,14.9,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,revisa,7,3,15.4,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,revisa,123,1,16.3,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,revisa,123,2,15.3,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,revisa,123,3,16.3,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,revisa,2024,1,16.1,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,revisa,2024,2,15.2,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,revisa,2024,3,17.9,5,3,3,0.6,0.4,1.0,2,1,1,341,0,FIABLE,True,1.0,
llama3.1:8b,revisa,99,1,17.0,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,revisa,99,2,15.9,5,3,3,0.6,0.4,1.0,2,1,1,75,0,FIABLE,True,1.0,
llama3.1:8b,revisa,99,3,15.2,5,3,3,0.6,0.4,1.0,2,1,1,75,0,FIABLE,True,1.0,
llama3.1:8b,revisa,555,1,14.4,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
llama3.1:8b,revisa,555,2,16.1,5,3,3,0.6,0.4,1.0,2,1,1,478,0,FIABLE,True,1.0,
llama3.1:8b,revisa,555,3,15.5,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,interpreta,42,1,41.0,5,4,4,0.8,0.8,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,interpreta,42,2,39.9,5,4,4,0.8,0.8,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,interpreta,42,3,37.7,5,4,4,0.8,0.8,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,interpreta,7,1,31.4,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,interpreta,7,2,43.7,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,interpreta,7,3,29.0,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,interpreta,123,1,32.7,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,interpreta,123,2,31.6,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,interpreta,123,3,40.6,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,interpreta,2024,1,26.2,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,interpreta,2024,2,27.7,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,interpreta,2024,3,29.7,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,interpreta,99,1,31.5,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,interpreta,99,2,41.6,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,interpreta,99,3,36.0,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,interpreta,555,1,35.6,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,interpreta,555,2,31.8,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,interpreta,555,3,30.5,5,3,3,0.6,0.6,1.0,0,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,revisa,42,1,32.2,5,4,4,0.8,0.8,1.0,4,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,revisa,42,2,37.2,5,4,4,0.8,0.8,1.0,4,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,revisa,42,3,36.6,5,4,4,0.8,0.8,1.0,4,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,revisa,7,1,34.0,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,revisa,7,2,29.5,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,revisa,7,3,26.0,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,revisa,123,1,34.1,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,revisa,123,2,31.6,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,revisa,123,3,31.6,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,revisa,2024,1,35.8,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,revisa,2024,2,36.3,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,revisa,2024,3,27.9,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,revisa,99,1,32.7,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,revisa,99,2,37.6,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,revisa,99,3,32.4,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,revisa,555,1,40.4,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,revisa,555,2,30.2,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
qwen2.5:14b,revisa,555,3,28.4,5,3,3,0.6,0.6,1.0,3,0,0,,0,FIABLE,True,1.0,
